RECTYPE,LEA,ESTAB,URN,ICLOSE,SCHNAME,NFTYPE,COHORT,OVERALL_DEST,APPREN,EMPLOYMENT,EDUCATION,FE,SCH_6TH,SIXTH_COL,OTHER_EDU,NOT_SUSTAINED,UNKNOWN,OVERALL_DESTPER,APPRENPER,EMPLOYMENTPER,EDUCATIONPER,FEPER,SCH_6THPER,SIXTH_COLPER,OTHER_EDUPER,NOT_SUSTAINEDPER,UNKNOWNPER,COHORT_DIS,OVERALL_DEST_DIS,APPREN_DIS,EMPLOYMENT_DIS,EDUCATION_DIS,FE_DIS,SCH_6TH_DIS,SIXTH_COL_DIS,OTHER_EDU_DIS,NOT_SUSTAINED_DIS,UNKNOWN_DIS,OVERALL_DESTPER_DIS,APPRENPER_DIS,EMPLOYMENTPER_DIS,EDUCATIONPER_DIS,FEPER_DIS,SCH_6THPER_DIS,SIXTH_COLPER_DIS,OTHER_EDUPER_DIS,NOT_SUSTAINEDPER_DIS,UNKNOWNPER_DIS,COHORT_NONDIS,OVERALL_DEST_NONDIS,APPREN_NONDIS,EMPLOYMENT_NONDIS,EDUCATION_NONDIS,FE_NONDIS,SCH_6TH_NONDIS,SIXTH_COL_NONDIS,OTHER_EDU_NONDIS,NOT_SUSTAINED_NONDIS,UNKNOWN_NONDIS,OVERALL_DESTPER_NONDIS,APPRENPER_NONDIS,EMPLOYMENTPER_NONDIS,EDUCATIONPER_NONDIS,FEPER_NONDIS,SCH_6THPER_NONDIS,SIXTH_COLPER_NONDIS,OTHER_EDUPER_NONDIS,NOT_SUSTAINEDPER_NONDIS,UNKNOWNPER_NONDIS,COHORT_22,OVERALL_DESTPER_22,COHORT_DIS_22,OVERALL_DESTPER_DIS_22,COHORT_NONDIS_22,OVERALL_DESTPER_NONDIS_22,COHORT_21,OVERALL_DESTPER_21,COHORT_DIS_21,OVERALL_DESTPER_DIS_21,COHORT_NONDIS_21,OVERALL_DESTPER_NONDIS_21
1,865,4075,138020,0,The John of Gaunt School,ACC,204,190,8,4,178,130,46,0,2,4,10,93%,4%,2%,87%,64%,23%,0%,1%,2%,5%,42,40,1,2,37,33,SUPP,0,SUPP,1,1,95%,2%,5%,88%,79%,SUPP,0%,SUPP,2%,2%,162,150,7,2,141,97,SUPP,0,SUPP,3,9,93%,4%,1%,87%,60%,SUPP,0%,SUPP,2%,6%,170,95%,41,88%,129,97%,169,88%,39,64%,130,95%
1,865,4000,131969,0,Abbeyfield School,CY,163,155,6,3,146,57,89,0,0,7,1,95%,4%,2%,90%,35%,55%,0%,0%,4%,1%,32,27,1,0,26,17,9,0,0,SUPP,SUPP,84%,3%,0%,81%,53%,28%,0%,0%,SUPP,SUPP,131,128,5,3,120,40,80,0,0,SUPP,SUPP,98%,4%,2%,92%,31%,61%,0%,0%,SUPP,SUPP,147,93%,38,79%,109,98%,175,90%,41,80%,134,93%
1,865,4002,138885,0,The Clarendon Academy,AC,154,145,4,6,135,67,66,0,2,8,1,94%,3%,4%,88%,44%,43%,0%,1%,5%,1%,40,34,0,4,30,19,SUPP,0,SUPP,SUPP,SUPP,85%,0%,10%,75%,48%,SUPP,0%,SUPP,SUPP,SUPP,114,111,4,2,105,48,SUPP,0,SUPP,SUPP,SUPP,97%,4%,2%,92%,42%,SUPP,0%,SUPP,SUPP,SUPP,156,92%,55,89%,101,93%,162,92%,41,80%,121,96%
1,865,5408,142316,0,Bradon Forest School,ACC,204,192,10,10,172,45,25,102,0,9,3,94%,5%,5%,84%,22%,12%,50%,0%,4%,1%,23,21,1,3,17,8,0,9,0,2,0,91%,4%,13%,74%,35%,0%,39%,0%,9%,0%,181,171,9,7,155,37,25,93,0,7,3,94%,5%,4%,86%,20%,14%,51%,0%,4%,2%,207,94%,21,62%,186,98%,199,94%,24,83%,175,95%
1,865,4067,136911,0,Royal Wootton Bassett Academy,ACC,276,265,8,4,253,86,129,36,2,8,3,96%,3%,1%,92%,31%,47%,13%,1%,3%,1%,29,24,0,0,24,15,7,SUPP,SUPP,4,1,83%,0%,0%,83%,52%,24%,SUPP,SUPP,14%,3%,247,241,8,4,229,71,122,SUPP,SUPP,4,2,98%,3%,2%,93%,29%,49%,SUPP,SUPP,2%,1%,271,96%,29,90%,242,97%,275,96%,46,89%,229,97%
1,865,4072,137230,0,Kingdown School,ACC,239,217,9,5,203,89,114,0,0,15,7,91%,4%,2%,85%,37%,48%,0%,0%,6%,3%,35,26,0,0,26,14,12,0,0,7,2,74%,0%,0%,74%,40%,34%,0%,0%,20%,6%,204,191,9,5,177,75,102,0,0,8,5,94%,4%,2%,87%,37%,50%,0%,0%,4%,2%,244,93%,51,80%,193,97%,255,94%,38,92%,217,94%
1,865,5411,138630,0,Devizes School,ACC,153,137,10,4,123,66,57,0,0,7,9,90%,7%,3%,80%,43%,37%,0%,0%,5%,6%,37,28,1,1,26,22,4,0,0,4,5,76%,3%,3%,70%,59%,11%,0%,0%,11%,14%,116,109,9,3,97,44,53,0,0,3,4,94%,8%,3%,84%,38%,46%,0%,0%,3%,3%,203,91%,61,79%,142,96%,171,92%,53,83%,118,96%
2,865,7008,141647,0,Exeter House Special School,ACCS,6,6,0,0,6,0,0,0,6,0,0,100%,0%,0%,100%,0%,0%,0%,100%,0%,0%,2,SUPP,0,0,SUPP,0,0,0,SUPP,0,0,SUPP,0%,0%,SUPP,0%,0%,0%,SUPP,0%,0%,4,SUPP,0,0,SUPP,0,0,0,SUPP,0,0,SUPP,0%,0%,SUPP,0%,0%,0%,SUPP,0%,0%,6,83%,2,SUPP,4,SUPP,4,SUPP,1,SUPP,3,SUPP
1,865,4064,137308,0,Malmesbury School,ACC,253,240,9,7,224,47,115,62,0,6,7,95%,4%,3%,89%,19%,45%,25%,0%,2%,3%,23,20,0,1,19,7,5,7,0,2,1,87%,0%,4%,83%,30%,22%,30%,0%,9%,4%,230,220,9,6,205,40,110,55,0,4,6,96%,4%,3%,89%,17%,48%,24%,0%,2%,3%,223,96%,16,75%,207,98%,234,98%,23,91%,211,99%
1,865,4066,136611,0,The Corsham School,ACC,184,171,4,6,161,75,85,0,1,10,3,93%,2%,3%,88%,41%,46%,0%,1%,5%,2%,32,29,0,2,27,SUPP,6,0,SUPP,2,1,91%,0%,6%,84%,SUPP,19%,0%,SUPP,6%,3%,152,142,4,4,134,SUPP,79,0,SUPP,8,2,93%,3%,3%,88%,SUPP,52%,0%,SUPP,5%,1%,170,95%,26,85%,144,97%,182,95%,26,85%,156,96%
1,865,4006,144389,0,The Trafalgar School at Downton,ACC,168,153,8,5,140,87,43,10,0,9,6,91%,5%,3%,83%,52%,26%,6%,0%,5%,4%,22,20,0,1,19,16,1,2,0,2,0,91%,0%,5%,86%,73%,5%,9%,0%,9%,0%,146,133,8,4,121,71,42,8,0,7,6,91%,5%,3%,83%,49%,29%,5%,0%,5%,4%,145,93%,24,79%,121,96%,151,96%,22,95%,129,96%
